Codigo Rude,Genero,Nivel,Curso,Gestion,Promedio,Reprobado,Primer_Anio,Reprobado_siguiente,Reprobaciones_acumuladas,Promedio_ultimos_3,Tendencia_promedio,Variabilidad_promedio,Años_en_sistema,Es_Estudiante_Nuevo,Promedio_global,Mejorando,Delta_promedio,Ratio_reprobacion,Volatilidad_rendimiento,Aceleracion_promedio,Probabilidad_Reprobacion,Nivel_Riesgo
419800652014308,M,Secundaria,1ro A,2024,30,1,2024,,1,30.0,0.0,0.0,1,1,30.0,0.0,0.0,1.0,0.0,0.0,0.08696835934968966,Bajo
519500012011110A,F,Secundaria,6to A,2024,80,0,2015,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120111406,F,Secundaria,6to A,2024,91,0,2015,,0,91.0,0.0,0.0,1,0,91.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120111592,M,Secundaria,6to A,2024,71,0,2015,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.02401265566116225,Bajo
5195000120111960,F,Secundaria,6to A,2024,93,0,2015,,0,93.0,0.0,0.0,1,0,93.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120122251,M,Secundaria,6to A,2024,59,0,2015,,0,59.0,0.0,0.0,1,0,59.0,0.0,0.0,0.0,0.0,0.0,0.08589732785350296,Bajo
5195000120122266,M,Secundaria,6to A,2024,87,0,2015,,0,87.0,0.0,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120122323,F,Secundaria,6to A,2024,91,0,2015,,0,91.0,0.0,0.0,1,0,91.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120122357,F,Secundaria,6to A,2024,79,0,2015,,0,79.0,0.0,0.0,1,0,79.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120122581,M,Secundaria,5to A,2024,69,0,2015,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.023299145516390014,Bajo
5195000120132225,M,Secundaria,5to A,2024,70,0,2015,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.022665817694770923,Bajo
519500012013644,M,Secundaria,5to A,2024,87,0,2015,,0,87.0,0.0,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012013709,M,Secundaria,3ro A,2024,51,1,2015,,1,51.0,0.0,0.0,1,0,51.0,0.0,0.0,1.0,0.0,0.0,0.06701534671639775,Bajo
51950001201372A,F,Secundaria,4to A,2024,77,0,2015,,0,77.0,0.0,0.0,1,0,77.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012013740,F,Secundaria,4to A,2024,85,0,2015,,0,85.0,0.0,0.0,1,0,85.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012013756,M,Secundaria,4to A,2024,75,0,2015,,0,75.0,0.0,0.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.007913537962927968,Bajo
519500012013777,M,Secundaria,4to A,2024,78,0,2015,,0,78.0,0.0,0.0,1,0,78.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012013889,F,Secundaria,5to A,2024,71,0,2015,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.022665817694770923,Bajo
519500012013922,M,Secundaria,4to A,2024,56,1,2016,,1,56.0,0.0,0.0,1,0,56.0,0.0,0.0,1.0,0.0,0.0,0.42077560350633075,Medio
5195000120142495,M,Secundaria,3ro A,2024,93,0,2016,,0,93.0,0.0,0.0,1,0,93.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120142571,F,Secundaria,3ro A,2024,64,0,2016,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.026842019640269634,Bajo
5195000120142586,M,Secundaria,3ro A,2024,83,0,2016,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120142605,M,Secundaria,3ro A,2024,84,0,2016,,0,84.0,0.0,0.0,1,0,84.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120142639,M,Secundaria,3ro A,2024,73,0,2016,,0,73.0,0.0,0.0,1,0,73.0,0.0,0.0,0.0,0.0,0.0,0.020451254309842026,Bajo
5195000120142677,F,Secundaria,4to A,2024,80,0,2015,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120142734,M,Secundaria,4to A,2024,64,0,2015,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.026842019640269634,Bajo
5195000120142768,F,Secundaria,4to A,2024,66,0,2015,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.026193466513325613,Bajo
5195000120142772,F,Secundaria,4to A,2024,73,0,2017,,0,73.0,0.0,0.0,1,0,73.0,0.0,0.0,0.0,0.0,0.0,0.020451254309842026,Bajo
5195000120152029,M,Secundaria,3ro A,2024,59,0,2016,,0,59.0,0.0,0.0,1,0,59.0,0.0,0.0,0.0,0.0,0.0,0.08136884327132966,Bajo
5195000120152048,F,Secundaria,3ro A,2024,69,0,2016,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.023299145516390014,Bajo
5195000120152071,M,Secundaria,3ro A,2024,64,0,2016,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.026842019640269634,Bajo
5195000120152105,F,Secundaria,2do A,2024,87,0,2017,,0,87.0,0.0,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
5195000120152139,F,Secundaria,2do A,2024,84,0,2017,,0,84.0,0.0,0.0,1,0,84.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
519500012015217,M,Secundaria,4to A,2024,73,0,2015,,0,73.0,0.0,0.0,1,0,73.0,0.0,0.0,0.0,0.0,0.0,0.020451254309842026,Bajo
5195000120152200,M,Secundaria,2do A,2024,63,1,2017,,1,63.0,0.0,0.0,1,0,63.0,0.0,0.0,1.0,0.0,0.0,0.03216634071945502,Bajo
519500012015222A,F,Secundaria,2do A,2024,83,0,2017,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.005909959004575042,Bajo
519500012016002,F,Secundaria,2do A,2024,75,0,2017,,0,75.0,0.0,0.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.011120090553615257,Bajo
519500012016005,F,Secundaria,3ro A,2024,60,0,2016,,0,60.0,0.0,0.0,1,0,60.0,0.0,0.0,0.0,0.0,0.0,0.07856158139983951,Bajo
519500012016006,F,Secundaria,2do A,2024,54,1,2017,,1,54.0,0.0,0.0,1,0,54.0,0.0,0.0,1.0,0.0,0.0,0.14216636749474193,Bajo
519500012016007,M,Secundaria,1ro A,2024,51,1,2024,,1,51.0,0.0,0.0,1,1,51.0,0.0,0.0,1.0,0.0,0.0,0.12687417504741982,Bajo
519500012016008,F,Secundaria,2do A,2024,56,0,2017,,0,56.0,0.0,0.0,1,0,56.0,0.0,0.0,0.0,0.0,0.0,0.36449836400728364,Medio
519500012016009,M,Secundaria,2do A,2024,57,1,2017,,1,57.0,0.0,0.0,1,0,57.0,0.0,0.0,1.0,0.0,0.0,0.28065530973777175,Medio
519500012017003,F,Secundaria,1ro A,2024,58,0,2018,,0,58.0,0.0,0.0,1,0,58.0,0.0,0.0,0.0,0.0,0.0,0.10937964717174176,Bajo
519500012017006,F,Secundaria,1ro A,2024,71,0,2018,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.022665817694770923,Bajo
519500012017007,F,Secundaria,1ro A,2024,66,0,2018,,0,66.0,0.0,0.0,1,0,66.0,0.0,0.0,0.0,0.0,0.0,0.026193466513325613,Bajo
519500012017008,M,Secundaria,1ro A,2024,53,1,2018,,1,53.0,0.0,0.0,1,0,53.0,0.0,0.0,1.0,0.0,0.0,0.2763915046538845,Medio
519500012017009,M,Secundaria,1ro A,2024,56,1,2018,,1,56.0,0.0,0.0,1,0,56.0,0.0,0.0,1.0,0.0,0.0,0.5059355396330645,Alto
519500012017012,F,Secundaria,1ro A,2024,53,1,2019,,1,53.0,0.0,0.0,1,0,53.0,0.0,0.0,1.0,0.0,0.0,0.23715653509262657,Bajo
519500012017013,F,Secundaria,1ro A,2024,92,0,2018,,0,92.0,0.0,0.0,1,0,92.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012017015,F,Secundaria,1ro A,2024,54,1,2018,,1,54.0,0.0,0.0,1,0,54.0,0.0,0.0,1.0,0.0,0.0,0.07244608394456868,Bajo
519500012017017,M,Secundaria,1ro A,2024,64,0,2018,,0,64.0,0.0,0.0,1,0,64.0,0.0,0.0,0.0,0.0,0.0,0.026842019640269634,Bajo
519500012017018,F,Secundaria,1ro A,2024,69,0,2018,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.023299145516390014,Bajo
519500012017021,M,Secundaria,1ro A,2024,83,0,2018,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120171314,M,Primario,6to A,2024,77,0,2019,,0,77.0,0.0,0.0,1,0,77.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120173401,F,Primario,5to A,2024,58,1,2019,,1,58.0,0.0,0.0,1,0,58.0,0.0,0.0,1.0,0.0,0.0,0.06405646189583462,Bajo
5195000120176253,F,Primario,6to A,2024,78,0,2022,,0,78.0,0.0,0.0,1,0,78.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
5195000120176578,F,Primario,6to A,2024,69,0,2019,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.024682666369110966,Bajo
5195000120176857,F,Primario,6to A,2024,84,0,2019,,0,84.0,0.0,0.0,1,0,84.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
5195000120177131,M,Primario,6to A,2024,61,0,2019,,0,61.0,0.0,0.0,1,0,61.0,0.0,0.0,0.0,0.0,0.0,0.09217471038992288,Bajo
5195000120177427,M,Primario,5to A,2024,72,0,2019,,0,72.0,0.0,0.0,1,0,72.0,0.0,0.0,0.0,0.0,0.0,0.018093434015639422,Bajo
5195000120178100,F,Primario,6to A,2024,70,0,2019,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.02401265566116225,Bajo
519500012018003,M,Primario,4to A,2024,60,1,2021,,1,60.0,0.0,0.0,1,0,60.0,0.0,0.0,1.0,0.0,0.0,0.06351668293590021,Bajo
519500012018005,F,Primario,5to A,2024,91,0,2021,,0,91.0,0.0,0.0,1,0,91.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012018008,M,Primario,5to A,2024,65,0,2021,,0,65.0,0.0,0.0,1,0,65.0,0.0,0.0,0.0,0.0,0.0,0.03865971306673902,Bajo
519500012018010,F,Primario,4to A,2024,58,0,2021,,0,58.0,0.0,0.0,1,0,58.0,0.0,0.0,0.0,0.0,0.0,0.17420093256381927,Bajo
519500012018011,F,Primario,5to A,2024,93,0,2021,,0,93.0,0.0,0.0,1,0,93.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012018012,F,Primario,4to A,2024,71,0,2022,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.04094938889588194,Bajo
519500012018013,M,Primario,6to A,2024,83,0,2020,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.005879112969738693,Bajo
519500012018014,M,Primario,6to A,2024,75,0,2019,,0,75.0,0.0,0.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.007913537962927968,Bajo
519500012018016,F,Primario,5to A,2024,70,0,2019,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.022665817694770923,Bajo
519500012018022,F,Primario,6to A,2024,83,0,2019,,0,83.0,0.0,0.0,1,0,83.0,0.0,0.0,0.0,0.0,0.0,0.004369146360610703,Bajo
519500012018023,M,Primario,5to A,2024,57,1,2019,,1,57.0,0.0,0.0,1,0,57.0,0.0,0.0,1.0,0.0,0.0,0.1719080637811966,Bajo
519500012018025,F,Primario,5to A,2024,49,1,2019,,1,49.0,0.0,0.0,1,0,49.0,0.0,0.0,1.0,0.0,0.0,0.3704399077578012,Medio
