iter	Passed	Remaining
0	3	3223
1	7	3943
2	10	3638
3	14	3691
4	17	3547
5	20	3433
6	24	3524
7	27	3458
8	31	3415
9	34	3382
10	37	3334
11	40	3298
12	43	3296
13	49	3451
14	53	3500
15	56	3472
16	60	3491
17	64	3539
18	68	3519
19	71	3492
20	74	3489
21	78	3480
22	81	3447
23	87	3547
24	93	3637
25	97	3653
26	100	3618
27	103	3587
28	109	3666
29	112	3640
30	115	3613
31	119	3611
32	121	3562
33	126	3581
34	129	3556
35	133	3566
36	140	3654
37	144	3658
38	148	3649
39	151	3628
40	157	3688
41	161	3680
42	164	3659
43	168	3651
44	171	3639
45	175	3642
46	179	3639
47	182	3618
48	186	3621
49	192	3660
50	196	3658
51	201	3665
52	206	3680
53	209	3662
54	212	3644
55	215	3625
56	219	3634
57	222	3616
58	225	3599
59	230	3605
60	232	3582
61	237	3594
62	241	3587
63	244	3572
64	247	3554
65	250	3546
66	254	3545
67	259	3561
68	263	3559
69	267	3552
70	277	3629
71	280	3611
72	283	3603
73	287	3597
74	290	3577
75	293	3562
76	295	3545
77	299	3536
78	303	3536
79	306	3520
80	308	3505
81	313	3506
82	316	3492
83	318	3475
84	321	3459
85	324	3445
86	330	3466
87	334	3461
88	337	3450
89	339	3437
90	343	3432
91	347	3431
92	350	3416
93	354	3412
94	358	3419
95	364	3430
96	366	3416
97	370	3407
98	375	3416
99	379	3411
100	382	3400
101	385	3391
102	387	3378
103	390	3367
104	394	3359
105	396	3344
106	399	3331
107	401	3318
108	404	3308
109	409	3312
110	411	3299
111	416	3305
112	420	3300
113	423	3291
114	426	3279
115	429	3274
116	432	3262
117	435	3251
118	437	3240
119	441	3235
120	446	3245
121	450	3241
122	456	3257
123	461	3263
124	465	3258
125	470	3262
126	474	3264
127	477	3253
128	481	3250
129	485	3250
130	489	3250
131	492	3239
132	496	3233
133	499	3228
134	502	3219
135	506	3217
136	509	3207
137	512	3199
138	515	3194
139	518	3184
140	523	3186
141	528	3191
142	530	3182
143	533	3171
144	538	3172
145	541	3166
146	544	3158
147	546	3148
148	550	3143
149	554	3143
150	557	3136
151	561	3132
152	564	3127
153	568	3122
154	571	3117
155	574	3108
156	577	3099
157	580	3093
158	583	3086
159	587	3082
160	590	3075
161	592	3066
162	597	3068
163	601	3066
164	604	3058
165	607	3050
166	609	3040
167	612	3033
168	616	3031
169	619	3023
170	623	3020
171	626	3017
172	629	3009
173	633	3008
174	636	3001
175	645	3021
176	651	3027
177	655	3024
178	658	3020
179	661	3013
180	665	3009
181	667	3001
182	670	2992
183	672	2984
184	675	2976
185	680	2978
186	684	2975
187	687	2967
188	690	2964
189	693	2957
190	697	2953
191	703	2958
192	706	2954
193	712	2960
194	716	2957
195	719	2949
196	722	2945
197	725	2938
198	728	2933
199	732	2931
200	735	2924
201	738	2917
202	741	2913
203	745	2908
204	749	2905
205	753	2904
206	756	2899
207	761	2899
208	764	2893
209	769	2895
210	773	2890
211	776	2887
212	779	2880
213	782	2874
214	785	2867
215	788	2860
216	792	2859
217	796	2856
218	799	2849
219	802	2844
220	805	2838
221	814	2854
222	820	2857
223	824	2856
224	827	2850
225	830	2843
226	833	2837
227	837	2834
228	841	2831
229	843	2825
230	847	2821
231	850	2815
232	853	2809
233	856	2805
234	859	2798
235	863	2793
236	865	2787
237	868	2782
238	872	2777
239	876	2775
240	879	2769
241	882	2763
242	887	2763
243	892	2764
244	895	2758
245	898	2753
246	901	2747
247	904	2741
248	907	2735
249	910	2730
250	913	2724
251	917	2723
252	921	2720
253	924	2714
254	928	2711
255	931	2707
256	936	2706
257	940	2703
258	943	2699
259	947	2695
260	955	2706
261	958	2700
262	962	2698
263	965	2693
264	970	2690
265	973	2685
266	976	2679
267	980	2678
268	983	2672
269	996	2693
270	1000	2691
271	1004	2687
272	1007	2681
273	1011	2681
274	1020	2690
275	1024	2687
276	1027	2682
277	1030	2677
278	1035	2674
279	1038	2671
280	1041	2665
281	1044	2659
282	1051	2663
283	1055	2660
284	1058	2655
285	1061	2650
286	1065	2646
287	1068	2641
288	1071	2637
289	1074	2631
290	1084	2643
291	1087	2637
292	1090	2632
293	1095	2629
294	1099	2627
295	1102	2621
296	1105	2616
297	1108	2611
298	1111	2606
299	1115	2602
300	1118	2596
301	1122	2594
302	1125	2589
303	1130	2588
304	1135	2587
305	1138	2583
306	1141	2577
307	1145	2573
308	1148	2568
309	1152	2565
310	1156	2561
311	1159	2557
312	1169	2566
313	1172	2560
314	1185	2577
315	1188	2572
316	1192	2570
317	1195	2564
318	1201	2564
319	1205	2560
320	1208	2557
321	1212	2553
322	1215	2548
323	1218	2542
324	1223	2540
325	1226	2535
326	1236	2544
327	1240	2542
328	1244	2537
329	1247	2533
330	1252	2531
331	1256	2528
332	1261	2526
333	1271	2535
334	1275	2531
335	1278	2526
336	1281	2521
337	1284	2516
338	1291	2518
339	1295	2515
340	1299	2510
341	1303	2507
342	1307	2504
343	1315	2507
344	1319	2505
345	1322	2499
346	1328	2499
347	1331	2495
348	1335	2491
349	1339	2487
350	1343	2484
351	1347	2480
352	1352	2478
353	1355	2472
354	1358	2467
355	1362	2464
356	1365	2459
357	1369	2455
358	1372	2450
359	1377	2448
360	1380	2442
361	1383	2438
362	1387	2434
363	1390	2429
364	1393	2424
365	1396	2419
366	1401	2417
367	1407	2417
368	1410	2412
369	1414	2408
370	1420	2409
371	1424	2404
372	1429	2402
373	1435	2402
374	1438	2398
375	1441	2393
376	1445	2388
377	1448	2383
378	1451	2379
379	1454	2373
380	1458	2370
381	1467	2374
382	1471	2369
383	1473	2364
384	1477	2359
385	1481	2356
386	1484	2351
387	1487	2346
388	1490	2341
389	1494	2338
390	1497	2332
391	1502	2330
392	1505	2325
393	1509	2321
394	1513	2317
395	1515	2312
396	1520	2309
397	1530	2314
398	1533	2309
399	1536	2305
400	1539	2300
401	1543	2296
402	1546	2291
403	1549	2286
404	1553	2282
405	1558	2279
406	1560	2274
407	1564	2270
408	1568	2265
409	1572	2263
410	1576	2259
411	1579	2254
412	1586	2255
413	1591	2252
414	1594	2248
415	1598	2243
416	1601	2238
417	1604	2234
418	1608	2229
419	1611	2225
420	1614	2220
421	1619	2217
422	1622	2213
423	1627	2210
424	1630	2205
425	1633	2200
426	1637	2197
427	1641	2194
428	1645	2189
429	1648	2185
430	1652	2180
431	1661	2184
432	1664	2179
433	1670	2177
434	1673	2173
435	1675	2168
436	1679	2163
437	1682	2158
438	1686	2154
439	1689	2149
440	1693	2146
441	1701	2148
442	1705	2144
443	1709	2140
444	1712	2136
445	1717	2133
446	1720	2128
447	1723	2124
448	1726	2119
449	1731	2116
450	1735	2112
451	1738	2107
452	1742	2104
453	1749	2103
454	1752	2099
455	1760	2100
456	1764	2096
457	1768	2092
458	1771	2088
459	1777	2086
460	1783	2084
461	1787	2081
462	1790	2076
463	1794	2072
464	1797	2068
465	1801	2064
466	1804	2059
467	1807	2054
468	1813	2053
469	1818	2051
470	1822	2046
471	1825	2041
472	1828	2037
473	1833	2035
474	1839	2032
475	1846	2032
476	1851	2030
477	1855	2025
478	1858	2021
479	1869	2025
480	1873	2021
481	1878	2018
482	1884	2017
483	1888	2013
484	1894	2011
485	1897	2007
486	1901	2002
487	1905	1999
488	1910	1996
489	1913	1991
490	1917	1987
491	1921	1983
492	1924	1979
493	1930	1977
494	1934	1973
495	1937	1968
496	1944	1968
497	1949	1964
498	1952	1960
499	1956	1956
500	1960	1952
501	1964	1948
502	1971	1948
503	1975	1943
504	1978	1939
505	1981	1934
506	1986	1931
507	1989	1927
508	1998	1928
509	2002	1923
510	2006	1920
511	2010	1915
512	2013	1911
513	2017	1907
514	2021	1903
515	2024	1899
516	2028	1894
517	2032	1891
518	2036	1887
519	2039	1882
520	2043	1878
521	2046	1873
522	2051	1871
523	2054	1866
524	2058	1862
525	2061	1857
526	2070	1857
527	2073	1853
528	2077	1849
529	2080	1845
530	2085	1841
531	2088	1837
532	2094	1834
533	2100	1832
534	2103	1828
535	2106	1823
536	2109	1819
537	2113	1814
538	2117	1811
539	2121	1806
540	2125	1803
541	2130	1800
542	2133	1795
543	2137	1791
544	2142	1788
545	2146	1784
546	2151	1781
547	2157	1779
548	2162	1776
549	2166	1772
550	2169	1767
551	2175	1765
552	2179	1761
553	2182	1756
554	2196	1761
555	2201	1757
556	2204	1753
557	2207	1748
558	2212	1745
559	2216	1741
560	2219	1736
561	2229	1737
562	2232	1732
563	2235	1728
564	2239	1723
565	2243	1720
566	2247	1715
567	2251	1712
568	2254	1707
569	2259	1704
570	2268	1704
571	2271	1699
572	2276	1696
573	2279	1691
574	2282	1687
575	2286	1683
576	2290	1679
577	2293	1674
578	2296	1670
579	2299	1665
580	2310	1666
581	2314	1662
582	2319	1658
583	2323	1655
584	2326	1650
585	2330	1646
586	2334	1642
587	2339	1639
588	2344	1635
589	2348	1632
590	2352	1627
591	2356	1623
592	2359	1619
593	2362	1614
594	2366	1611
595	2370	1606
596	2373	1602
597	2377	1598
598	2381	1593
599	2385	1590
600	2388	1585
601	2399	1586
602	2403	1582
603	2406	1577
604	2409	1573
605	2412	1568
606	2417	1565
607	2420	1560
608	2424	1556
609	2431	1554
610	2435	1550
611	2440	1547
612	2444	1543
613	2449	1539
614	2455	1537
615	2458	1532
616	2461	1528
617	2466	1524
618	2469	1520
619	2475	1517
620	2479	1513
621	2482	1508
622	2486	1504
623	2489	1500
624	2492	1495
625	2497	1492
626	2502	1488
627	2506	1484
628	2510	1480
629	2514	1476
630	2517	1472
631	2521	1468
632	2525	1464
633	2529	1460
634	2533	1456
635	2536	1451
636	2540	1447
637	2543	1443
638	2547	1439
639	2550	1434
640	2554	1430
641	2558	1426
642	2561	1422
643	2565	1417
644	2568	1413
645	2575	1411
646	2581	1408
647	2587	1405
648	2590	1401
649	2593	1396
650	2596	1392
651	2599	1387
652	2604	1384
653	2607	1379
654	2611	1375
655	2615	1371
656	2618	1367
657	2622	1362
658	2625	1358
659	2628	1354
660	2631	1349
661	2637	1346
662	2640	1342
663	2644	1338
664	2647	1333
665	2650	1329
666	2656	1326
667	2660	1322
668	2663	1318
669	2668	1314
670	2673	1310
671	2676	1306
672	2680	1302
673	2686	1299
674	2689	1294
675	2692	1290
676	2699	1287
677	2704	1284
678	2709	1280
679	2713	1277
680	2717	1272
681	2720	1268
682	2723	1264
683	2727	1260
684	2731	1256
685	2735	1252
686	2746	1251
687	2749	1246
688	2753	1242
689	2756	1238
690	2759	1234
691	2763	1230
692	2767	1226
693	2771	1222
694	2775	1217
695	2778	1213
696	2781	1209
697	2785	1205
698	2788	1200
699	2791	1196
700	2795	1192
701	2800	1188
702	2804	1184
703	2808	1181
704	2812	1176
705	2815	1172
706	2822	1169
707	2827	1166
708	2831	1162
709	2838	1159
710	2842	1155
711	2845	1151
712	2849	1146
713	2852	1142
714	2856	1138
715	2859	1134
716	2869	1132
717	2874	1128
718	2877	1124
719	2880	1120
720	2883	1115
721	2888	1112
722	2891	1107
723	2896	1104
724	2900	1100
725	2904	1096
726	2909	1092
727	2914	1088
728	2918	1084
729	2922	1080
730	2925	1076
731	2928	1072
732	2932	1068
733	2938	1064
734	2941	1060
735	2945	1056
736	2952	1053
737	2958	1050
738	2965	1047
739	2973	1044
740	2980	1041
741	2984	1037
742	2988	1033
743	2993	1029
744	2997	1026
745	3001	1021
746	3005	1017
747	3011	1014
748	3016	1010
749	3024	1008
750	3031	1004
751	3034	1000
752	3040	997
753	3044	993
754	3049	989
755	3053	985
756	3060	982
757	3065	978
758	3093	982
759	3103	979
760	3114	978
761	3123	975
762	3129	972
763	3135	968
764	3142	965
765	3147	961
766	3155	958
767	3159	954
768	3166	951
769	3172	947
770	3177	943
771	3181	939
772	3187	935
773	3191	931
774	3196	927
775	3201	924
776	3205	920
777	3213	916
778	3219	913
779	3224	909
780	3233	906
781	3237	902
782	3241	898
783	3246	894
784	3251	890
785	3256	886
786	3260	882
787	3264	878
788	3269	874
789	3277	871
790	3283	867
791	3287	863
792	3293	859
793	3298	855
794	3302	851
795	3307	847
796	3311	843
797	3319	840
798	3324	836
799	3331	832
800	3335	828
801	3340	824
802	3346	820
803	3350	816
804	3354	812
805	3357	808
806	3363	804
807	3369	800
808	3373	796
809	3378	792
810	3382	788
811	3386	783
812	3390	779
813	3395	775
814	3399	771
815	3403	767
816	3407	763
817	3411	759
818	3415	754
819	3419	750
820	3424	746
821	3435	744
822	3440	739
823	3444	735
824	3449	731
825	3453	727
826	3460	723
827	3464	719
828	3468	715
829	3473	711
830	3477	707
831	3481	702
832	3494	700
833	3499	696
834	3503	692
835	3508	688
836	3515	684
837	3521	680
838	3525	676
839	3529	672
840	3534	668
841	3541	664
842	3546	660
843	3550	656
844	3555	652
845	3561	648
846	3565	644
847	3570	640
848	3574	635
849	3577	631
850	3581	627
851	3586	622
852	3590	618
853	3593	614
854	3597	610
855	3604	606
856	3608	602
857	3611	597
858	3616	593
859	3619	589
860	3624	585
861	3628	580
862	3632	576
863	3635	572
864	3639	567
865	3644	563
866	3656	560
867	3659	556
868	3664	552
869	3669	548
870	3673	544
871	3676	539
872	3681	535
873	3684	531
874	3688	526
875	3693	522
876	3697	518
877	3700	514
878	3706	510
879	3710	505
880	3714	501
881	3718	497
882	3722	493
883	3726	488
884	3732	485
885	3737	480
886	3754	478
887	3761	474
888	3766	470
889	3769	465
890	3774	461
891	3778	457
892	3782	453
893	3785	448
894	3788	444
895	3793	440
896	3798	436
897	3801	431
898	3807	427
899	3811	423
900	3814	419
901	3825	415
902	3829	411
903	3832	407
904	3837	402
905	3842	398
906	3846	394
907	3849	390
908	3853	385
909	3857	381
910	3863	377
911	3866	373
912	3869	368
913	3876	364
914	3880	360
915	3884	356
916	3889	352
917	3894	347
918	3897	343
919	3901	339
920	3906	335
921	3911	330
922	3914	326
923	3920	322
924	3924	318
925	3929	313
926	3932	309
927	3936	305
928	3939	301
929	3943	296
930	3946	292
931	3951	288
932	3957	284
933	3960	279
934	3964	275
935	3968	271
936	3972	267
937	3976	262
938	3983	258
939	3988	254
940	3991	250
941	3994	245
942	3999	241
943	4002	237
944	4006	233
945	4010	228
946	4015	224
947	4018	220
948	4022	216
949	4025	211
950	4029	207
951	4036	203
952	4040	199
953	4046	195
954	4050	190
955	4053	186
956	4056	182
957	4060	178
958	4063	173
959	4067	169
960	4071	165
961	4076	161
962	4080	156
963	4085	152
964	4089	148
965	4096	144
966	4099	139
967	4102	135
968	4109	131
969	4113	127
970	4117	122
971	4121	118
972	4125	114
973	4128	110
974	4131	105
975	4134	101
976	4139	97
977	4143	93
978	4146	88
979	4149	84
980	4152	80
981	4159	76
982	4164	72
983	4168	67
984	4172	63
985	4179	59
986	4183	55
987	4192	50
988	4195	46
989	4198	42
990	4202	38
991	4207	33
992	4211	29
993	4214	25
994	4219	21
995	4222	16
996	4225	12
997	4230	8
998	4233	4
999	4237	0
