Codigo Rude,Genero,Nivel,Curso,Gestion,Promedio,Reprobado,Primer_Anio,Reprobado_siguiente,Reprobaciones_acumuladas,Promedio_ultimos_3,Tendencia_promedio,Variabilidad_promedio,Años_en_sistema,Es_Estudiante_Nuevo,Promedio_global,Mejorando,Delta_promedio,Ratio_reprobacion,Volatilidad_rendimiento,Aceleracion_promedio,Probabilidad_Reprobacion,Nivel_Riesgo
419800652014308,M,Secundaria,1ro A,2024,30,1,2024,,1,30.0,0.0,0.0,1,1,30.0,0.0,0.0,1.0,0.0,0.0,0.08077206361518363,Bajo
519500012011110A,F,Secundaria,6to A,2024,80,0,2015,,0,80.0,0.0,0.0,1,0,80.0,0.0,0.0,0.0,0.0,0.0,0.00033145772408052683,Bajo
5195000120111406,F,Secundaria,6to A,2024,91,0,2015,,0,91.0,0.0,0.0,1,0,91.0,0.0,0.0,0.0,0.0,0.0,0.00013345109027173652,Bajo
5195000120111592,M,Secundaria,6to A,2024,71,0,2015,,0,71.0,0.0,0.0,1,0,71.0,0.0,0.0,0.0,0.0,0.0,0.016453190454703098,Bajo
5195000120111960,F,Secundaria,6to A,2024,93,0,2015,,0,93.0,0.0,0.0,1,0,93.0,0.0,0.0,0.0,0.0,0.0,0.0001328731749976308,Bajo
5195000120122251,M,Secundaria,6to A,2024,59,0,2015,,0,59.0,0.0,0.0,1,0,59.0,0.0,0.0,0.0,0.0,0.0,0.009929432766690845,Bajo
5195000120122266,M,Secundaria,6to A,2024,87,0,2015,,0,87.0,0.0,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,8.598699418972783e-05,Bajo
5195000120122323,F,Secundaria,6to A,2024,91,0,2015,,0,91.0,0.0,0.0,1,0,91.0,0.0,0.0,0.0,0.0,0.0,0.00013345109027173652,Bajo
5195000120122357,F,Secundaria,6to A,2024,79,0,2015,,0,79.0,0.0,0.0,1,0,79.0,0.0,0.0,0.0,0.0,0.0,0.00031507400624533377,Bajo
5195000120122581,M,Secundaria,5to A,2024,69,0,2015,,0,69.0,0.0,0.0,1,0,69.0,0.0,0.0,0.0,0.0,0.0,0.07287095486733511,Bajo
5195000120132225,M,Secundaria,5to A,2024,70,0,2015,,0,70.0,0.0,0.0,1,0,70.0,0.0,0.0,0.0,0.0,0.0,0.026921766161984998,Bajo
519500012013644,M,Secundaria,5to A,2024,87,0,2015,,0,87.0,0.0,0.0,1,0,87.0,0.0,0.0,0.0,0.0,0.0,0.000528681356040544,Bajo
519500012013709,M,Secundaria,3ro A,2024,51,1,2015,,1,51.0,0.0,0.0,1,0,51.0,0.0,0.0,1.0,0.0,0.0,0.1833487837948119,Bajo
51950001201372A,F,Secundaria,4to A,2024,77,0,2015,,0,77.0,0.0,0.0,1,0,77.0,0.0,0.0,0.0,0.0,0.0,0.0004865417658405009,Bajo
519500012013740,F,Secundaria,4to A,2024,85,0,2015,,0,85.0,0.0,0.0,1,0,85.0,0.0,0.0,0.0,0.0,0.0,0.00015511885808740163,Bajo
519500012013756,M,Secundaria,4to A,2024,75,0,2015,,0,75.0,0.0,0.0,1,0,75.0,0.0,0.0,0.0,0.0,0.0,0.0005220009911059274,Bajo
